"model","exposure","outcome","term","lnhr","se_lnhr","hr","conf_low","conf_high","N_total","N_exposed","N_events","person_time_total","outcome_time_median","covariate_collapsed","strata_warning","obs_warning","surv_formula","input","cox_ipw"
"mdl_age_sex","exp_date","out_date","cov_cat_sex=Male",-0.064652505127752,0.0453937166340379,0.937393146099138,0.857595655247076,1.02461562739667,4053,447,NA,NA,NA,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","cov_num_age",-0.00322504761526648,0.00233400191166585,0.996780147264715,0.992230730708957,1.00135042307262,4053,447,NA,NA,NA,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","cov_num_age'",0.0024384837051464,0.00298012550952381,1.00244145922463,0.996603326827672,1.00831379157755,4053,447,NA,NA,NA,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","days0_1",-2.02053209894981,0.0878307022397494,0.132584898022459,0.111617535630087,0.157490981003951,4053,447,0,447,NA,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","days1_7",0.155166350628627,1.0026201508864,1.1678522178979,0.163665096222631,8.33335166952017,4053,447,1,2677,2,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","days1065_1582",0.00374068877931178,0.152440504848773,1.0037476938875,0.744503883581726,1.35326283072892,4053,447,47,80946,1234,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","days14_28",-0.685804156327496,0.986498208797635,0.503685025172762,0.0728534699249876,3.48231326310884,4053,447,1,6222,20,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","days183_365",-0.16343709711805,0.213575649553762,0.849219915701641,0.55875863545645,1.29067260792341,4053,447,23,73840,253,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","days28_56",0.713791958657241,0.343204853039375,2.04171871123972,1.04198006053039,4.00066705086898,4053,447,8,12313,42,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
"mdl_age_sex","exp_date","out_date","days365_730",-0.142780019986084,0.146097496689216,0.866944758440801,0.651077984735009,1.15438278026538,4053,447,50,133975,546.5,"","","","Surv(tstart, tstop, outcome_status) ~ days0_1 + days1_7 + days7_14 + days14_28 + days28_56 + days56_84 + days84_183 + days183_365 + days365_730 + days730_1065 + days1065_1582 + cov_cat_sex + rms::strat(strat_cat_region) + cluster(patient_id) + rms::rcs(cov_num_age, parms=knot_placement)","model/model_input-cohort_prevax-main-ami.rds","v0.0.37"
